srno,address,categories,city,country,latitude,longitude,name,postalCode,province,cleaned_name,is_tourist_province,rest_per_km2_province,rest_per_1000people_province,api_call_made,schools,university,hospital,park,offices,mall,all_lat_long
7473,302 Mall Blvd,,Savannah,US,32.004698,-81.113831,Taco Bell,31406,GA,tacobell,1,0.0042696312,0.060459291,True,4,0,1,5,9,30,"[[ 32.002568   -81.113208  ]
 [ 32.0084325  -81.1099576 ]
 [ 32.00210953 -81.11250305]
 [ 32.003161   -81.108588  ]
 [ 32.00955668 -81.11320713]
 [ 32.00191861 -81.11090992]
 [ 32.002717   -81.115276  ]
 [ 32.0038752  -81.11731   ]
 [ 32.00292543 -81.1152198 ]
 [ 32.00223514 -81.11814499]
 [ 32.00316108 -81.11031791]
 [ 32.00198584 -81.11249452]
 [ 32.00313503 -81.11535709]
 [ 32.00191861 -81.11090992]
 [ 32.00325966 -81.11056397]
 [ 32.00310516 -81.10956573]
 [ 32.00652758 -81.11770326]
 [ 32.00678887 -81.11775057]
 [ 32.00764654 -81.11495895]
 [ 32.00637819 -81.11602249]
 [ 32.00285378 -81.11225916]
 [ 32.00274355 -81.11716455]
 [ 32.0033457  -81.1170131 ]
 [ 32.0037117  -81.11359406]
 [ 32.0038752  -81.11731   ]
 [ 32.00435394 -81.11453023]
 [ 32.00592308 -81.1163503 ]
 [ 32.002717   -81.115276  ]
 [ 32.00602758 -81.11548377]
 [ 32.00171513 -81.11716994]
 [ 32.00158691 -81.11608124]
 [ 32.00358582 -81.11714172]
 [ 32.00130622 -81.11172846]
 [ 32.00292543 -81.1152198 ]
 [ 32.0020055  -81.11212517]
 [ 32.00328995 -81.117023  ]
 [ 32.00342081 -81.11702449]
 [ 32.00342941 -81.11725616]
 [ 32.00380438 -81.11766016]
 [ 32.00282183 -81.11782716]
 [ 32.00233568 -81.10860404]
 [ 32.00310997 -81.11713223]
 [ 32.00269498 -81.11881836]
 [ 32.0037196  -81.1137549 ]
 [ 32.00407043 -81.11591932]
 [ 32.00186601 -81.11727171]
 [ 32.0042507  -81.11661684]
 [ 32.00376352 -81.1166203 ]
 [ 32.00200622 -81.11674795]]"
7474,1515 S Bradley Rd,,Santa Maria,US,34.934063,-120.418775,Taco Bell,93454,CA,tacobell,1,0.003313786,0.0337992891,True,0,0,0,0,5,0,"[[  34.9346818  -120.4207222 ]
 [  34.93468571 -120.42098626]
 [  34.93470359 -120.42099818]
 [  34.93754268 -120.42068122]
 [  34.93673422 -120.41789586]]"
7475,28370 Trails Edge Blvd,,Bonita Springs,US,26.3243,-81.8064,Taco Bell,34134,FL,tacobell,1,0.0062928856,0.0410341642,True,1,0,0,0,0,0,[[ 26.328526 -81.803762]]
7476,6005 Preston Ave,Fast Food,Livermore,US,37.70621,-121.72198,Taco Bell,94551,CA,tacobell,1,0.003313786,0.0337992891,True,0,0,0,1,1,0,"[[  37.70789766 -121.71579133]
 [  37.7081337  -121.71913147]]"
7477,356 Florin Rd,,Sacramento,US,38.508307,-121.542957,Taco Bell,95831,CA,tacobell,1,0.003313786,0.0337992891,True,0,0,0,1,2,0,"[[  38.50748948 -121.54816615]
 [  38.50878619 -121.54063815]
 [  38.507229   -121.541699  ]]"
7478,5350 Highland Rd,,Waterford,US,42.660203,-83.394737,Taco Bell,48327,MI,tacobell,0,0.003462287,0.0507207194,True,0,0,0,2,3,0,"[[ 42.66534591 -83.39726061]
 [ 42.66224573 -83.38750187]
 [ 42.6605232  -83.39389158]
 [ 42.662763   -83.393732  ]
 [ 42.660976   -83.393867  ]]"
7479,1350 US Highway 211 W,Fast Food Restaurant,Luray,US,38.66072,-78.495893,Taco Bell,22835,VA,tacobell,1,0.0048983662,0.0588187988,True,0,0,0,0,0,0,
7480,3383 S Linden Rd,,Flint,US,42.977599,-83.771468,Taco Bell,48507,MI,tacobell,0,0.003462287,0.0507207194,True,1,1,0,0,8,4,"[[ 42.97649    -83.77042   ]
 [ 42.98063342 -83.76639522]
 [ 42.9767     -83.7692    ]
 [ 42.97667435 -83.76916388]
 [ 42.981743   -83.772805  ]
 [ 42.97464416 -83.77254418]
 [ 42.975429   -83.776931  ]
 [ 42.97333369 -83.77480745]
 [ 42.973947   -83.775171  ]
 [ 42.9748107  -83.7748754 ]
 [ 42.97987643 -83.76784178]
 [ 42.9771632  -83.7686553 ]
 [ 42.98071632 -83.76924362]
 [ 42.98023658 -83.76925588]]"
7481,4225 E Colonial Dr,Fast Food Restaurants,Orlando,US,28.553776,-81.332724,Taco Bell,32803,FL,tacobell,1,0.0062928856,0.0410341642,True,3,0,0,5,7,1,"[[ 28.55918527 -81.336658  ]
 [ 28.55925123 -81.33667946]
 [ 28.553379   -81.331194  ]
 [ 28.55420745 -81.33518015]
 [ 28.55833072 -81.33092572]
 [ 28.55755443 -81.33288557]
 [ 28.55842029 -81.33108591]
 [ 28.55833225 -81.33092201]
 [ 28.55645822 -81.33719609]
 [ 28.553414   -81.337025  ]
 [ 28.55398707 -81.32913578]
 [ 28.55547309 -81.32880986]
 [ 28.55524464 -81.32913578]
 [ 28.558321   -81.333499  ]
 [ 28.55485979 -81.32876314]
 [ 28.55335411 -81.33485171]]"
7482,2380 SW College Rd,Fast Food Restaurant,Ocala,US,29.16970236,-82.1636057,Taco Bell,34471,FL,tacobell,1,0.0062928856,0.0410341642,True,0,1,2,2,0,0,"[[ 29.170658   -82.168229  ]
 [ 29.16578408 -82.16222048]
 [ 29.16571679 -82.16234678]
 [ 29.168504   -82.163749  ]
 [ 29.16850092 -82.16684461]]"
7483,5400 N Orange Blossom Trl,Fast Food,Orlando,US,28.60745,-81.424974,Taco Bell,32810,FL,tacobell,1,0.0062928856,0.0410341642,True,6,0,1,0,3,0,"[[ 28.60455158 -81.42156053]
 [ 28.6120839  -81.42692792]
 [ 28.61205481 -81.42630751]
 [ 28.60448958 -81.42150478]
 [ 28.61057731 -81.42886162]
 [ 28.61116963 -81.42866828]
 [ 28.604736   -81.425163  ]
 [ 28.60466909 -81.4251923 ]
 [ 28.6098899  -81.4261574 ]
 [ 28.60445073 -81.42924237]]"
7484,1520 S Stephenson Ave,,Iron Mountain,US,45.80899,-88.05204,Taco Bell,49801,MI,tacobell,0,0.003462287,0.0507207194,True,0,0,0,1,1,0,"[[ 45.81087584 -88.04797044]
 [ 45.80903696 -88.04613023]]"
7485,3800 Northlake Blvd,Fast Food Restaurants,West Palm Beach,US,26.808082,-80.094745,Taco Bell,33403,FL,tacobell,1,0.0062928856,0.0410341642,True,4,0,0,4,2,0,"[[ 26.80350355 -80.09192073]
 [ 26.80348126 -80.09193039]
 [ 26.80403338 -80.09314959]
 [ 26.81081572 -80.09680422]
 [ 26.80979006 -80.09304594]
 [ 26.811969   -80.09717   ]
 [ 26.8083878  -80.08869048]
 [ 26.80886565 -80.08966684]
 [ 26.80344618 -80.09192225]
 [ 26.80702724 -80.09614421]]"
7486,4855 Babcock St NE,Fast Food Restaurant,Palm Bay,US,28.029579,-80.621111,Taco Bell,32905,FL,tacobell,1,0.0062928856,0.0410341642,True,0,0,0,0,0,0,
7487,8699 Coral Way,Fast Food Restaurant,Miami,US,25.74767,-80.335582,Taco Bell,33155,FL,tacobell,1,0.0062928856,0.0410341642,True,1,1,1,1,5,0,"[[ 25.745627   -80.335934  ]
 [ 25.74868011 -80.33895111]
 [ 25.74495842 -80.33581025]
 [ 25.748747   -80.336734  ]
 [ 25.749697   -80.337622  ]
 [ 25.74476194 -80.33601165]
 [ 25.74914338 -80.33226985]
 [ 25.74717011 -80.33991136]
 [ 25.74729288 -80.33515616]]"
7488,1065 Ironton Hill Drive,,Ironton,US,38.5412,-82.6747,Taco Bell,45638,OH,tacobell,0,0.007757798,0.0702343191,True,1,0,0,1,0,0,"[[ 38.541169 -82.674876]
 [ 38.537106 -82.679902]]"
7489,200 N Wilson Rd,,Columbus,US,39.958945,-83.092816,Taco Bell,43204,OH,tacobell,0,0.007757798,0.0702343191,True,0,0,0,2,1,0,"[[ 39.9616455  -83.0926441 ]
 [ 39.96444277 -83.09173991]
 [ 39.95755005 -83.095047  ]]"
7490,2707 F NW,Fast Food,Childress,US,34.436378,-100.232426,Taco Bell,79201,TX,tacobell,1,0.0016317192,0.0384644262,True,0,0,0,1,0,0,[[  34.43584442 -100.22686005]]
7491,100 Universal City Plz,,Universal City,US,34.13615,-118.35416,Taco Bell,91608,CA,tacobell,1,0.003313786,0.0337992891,True,1,1,0,24,12,0,"[[  34.138238   -118.353642  ]
 [  34.13845041 -118.35527188]
 [  34.13495906 -118.3529985 ]
 [  34.140467   -118.357102  ]
 [  34.136999   -118.355473  ]
 [  34.138694   -118.356262  ]
 [  34.13637171 -118.35505502]
 [  34.1366461  -118.3586787 ]
 [  34.1344727  -118.35082615]
 [  34.13503455 -118.35310847]
 [  34.1353275  -118.35390793]
 [  34.135497   -118.354103  ]
 [  34.13629075 -118.35308613]
 [  34.13763426 -118.35609645]
 [  34.13561916 -118.35079191]
 [  34.13825143 -118.35707814]
 [  34.13758764 -118.35607231]
 [  34.13619059 -118.35725216]
 [  34.13468992 -118.35591105]
 [  34.137358   -118.357553  ]
 [  34.135835   -118.350939  ]
 [  34.138131   -118.357021  ]
 [  34.13427527 -118.35828245]
 [  34.137479   -118.360803  ]
 [  34.138359   -118.358636  ]
 [  34.14042212 -118.35762881]
 [  34.13428097 -118.3526581 ]
 [  34.133626   -118.357875  ]
 [  34.13632789 -118.35431312]
 [  34.13619321 -118.35430544]
 [  34.13647933 -118.35360546]
 [  34.13692474 -118.35539246]
 [  34.13409368 -118.358071  ]
 [  34.1401275  -118.3501356 ]
 [  34.13702035 -118.35512921]
 [  34.13315631 -118.35665703]
 [  34.132696   -118.353961  ]
 [  34.13381348 -118.35770845]]"
